                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.30357,                 0.3448,                  0.915,                 0.9395,                0.96466,                0.97876,                0.93847,                0.31624,                0.34176,                0.92047,             0.00038375,             0.00038375,             0.00038375
                     37,                0.30198,                0.35994,                0.91237,                0.96708,                 0.9226,                0.97436,                0.93456,                0.32533,                 0.3416,                0.93155,               0.000359,               0.000359,               0.000359
                     38,                0.29938,                0.34744,                0.91229,                0.95426,                0.93372,                0.97726,                0.93267,                0.32469,                0.34758,                0.92691,             0.00033425,             0.00033425,             0.00033425
                     39,                0.29166,                0.34038,                0.90994,                0.97758,                 0.9307,                0.97686,                0.92999,                0.31724,                0.34431,                0.92743,              0.0003095,              0.0003095,              0.0003095
                     40,                0.29784,                0.33869,                0.91047,                0.94653,                0.93581,                0.97695,                0.93651,                0.30714,                0.33812,                0.91535,             0.00028475,             0.00028475,             0.00028475
                     41,                0.23572,                0.26733,                0.93789,                0.96802,                0.92864,                0.98038,                0.95192,                0.28785,                0.31972,                0.87986,                0.00026,                0.00026,                0.00026
                     42,                0.22342,                0.24479,                0.92571,                 0.9728,                 0.9304,                 0.9791,                0.94956,                0.28634,                  0.306,                0.88093,             0.00023525,             0.00023525,             0.00023525
                     43,                0.21222,                0.23478,                0.91649,                 0.9697,                0.93581,                0.98351,                0.95466,                0.27011,                0.30218,                0.86182,              0.0002105,              0.0002105,              0.0002105
                     44,                0.20548,                0.22964,                0.91215,                 0.9587,                0.95595,                0.97847,                0.95041,                0.26848,                0.29417,                 0.8691,             0.00018575,             0.00018575,             0.00018575
                     45,                0.19952,                0.21892,                0.91116,                0.95823,                0.95395,                0.97697,                 0.9505,                0.25571,                0.28402,                0.84802,               0.000161,               0.000161,               0.000161
                     46,                0.19077,                0.20636,                0.90404,                0.96106,                0.95653,                 0.9781,                0.95367,                0.25993,                0.29412,                0.85598,             0.00013625,             0.00013625,             0.00013625
                     47,                0.18966,                0.19932,                0.90061,                 0.9584,                0.95473,                0.98044,                0.95341,                0.25826,                0.28388,                0.85321,              0.0001115,              0.0001115,              0.0001115
                     48,                0.18405,                 0.1952,                0.90001,                0.96967,                0.94044,                0.97941,                0.95555,                0.23748,                0.27998,                0.83306,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.17992,                0.18707,                0.89535,                0.96526,                0.94628,                0.97482,                0.95415,                0.24169,                0.28295,                0.83994,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.17536,                0.18131,                0.89486,                0.96574,                0.94297,                 0.9759,                0.95332,                0.24777,                0.28578,                0.84969,              3.725e-05,              3.725e-05,              3.725e-05
